basisOfRecord,catalogNumber,collectionCode,coordinateUncertaintyInMeters,countryCode,county,day,decimalLatitude,decimalLongitude,eventDate,habitat,institutionCode,locality,month,municipality,occurrenceID,recordedBy,scientificName,stateProvince,utm100x100m,utm10x10km,verbatimCoordinates,verbatimElevation,verbatimLocality,year
PreservedSpecimen,20828,,71,ES,,5,43.463792,-8.312052,2006-09-05,,,,9,,SANT:SANT-Algae:20828-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ556125,,29TNJ556125,,"A Coruña: Punta Fornelos, Ferrol, Ría de Ferrol",2006
PreservedSpecimen,20801,,71,ES,,28,42.590539,-8.915293,2004-04-28,,,,4,,SANT:SANT-Algae:20801-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH069153,,29TNH069153,,"A Coruña: Punta Golfina, A Pobra do Caramiñal, Ría de Arousa",2004
PreservedSpecimen,19464,,71,ES,,20,43.462854,-8.305882,2007-10-20,,,,10,,SANT:SANT-Algae:19464-A,"I. Bárbara, P. Díaz & J. Souto",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ561124,,29TNJ561124,,"A Coruña: Punta de San Cristobal, Ferrol, Ría de Ferrol",2007
PreservedSpecimen,19293,,71,ES,,10,42.611228,-8.887223,2007-05-10,,,,5,,SANT:SANT-Algae:19293-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH092176,,29TNH092176,,"A Coruña: Cabo Cruz, Boiro, Ría de Arousa",2007
PreservedSpecimen,19276,,71,ES,,5,43.456468,-8.292358,2006-09-05,,,,9,,SANT:SANT-Algae:19276-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ572117,,29TNJ572117,,"A Coruña: Punta de San Martín Oeste, Mugardos, Ría de Ferrol",2006
PreservedSpecimen,19098,,707,ES,,21,42.294239,-8.666404,1992-01-21,,,,1,,SANT:SANT-Algae:19098-A,J. Cremades,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG2782,,29TNG2782,,"Pontevedra: Puente de Rande, Moaña, Ría de Vigo",1992
PreservedSpecimen,18859,,71,ES,,7,42.252756,-8.856345,2004-09-07,,,,9,,SANT:SANT-Algae:18859-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG118778,,29TNG118778,,"Pontevedra: Castros da Barra, Ría de Vigo, Cangas",2004
PreservedSpecimen,18549,,71,ES,,22,42.478898,-9.004258,2005-06-22,,,,6,,SANT:SANT-Algae:18549-A,"V. Peña, I. Bárbara, P. Díaz & M. Tibaldo",Anotrichium furcellatum (J. Agardh) Baldock,C,29TMH996029,,29TMH996029,,"A Coruña: Al NE Isla Sálvora, Ribeira, Ría de Arousa",2005
PreservedSpecimen,18482,,71,ES,,22,42.491507,-9.005476,2005-06-22,,,,6,,SANT:SANT-Algae:18482-A,"V. Peña, I. Bárbara, P. Díaz & M. Tibaldo",Anotrichium furcellatum (J. Agardh) Baldock,C,29TMH995043,,29TMH995043,,"A Coruña: Canal Curbina, Sur Isla Vionta, Ribeira, Ría de Arousa",2005
PreservedSpecimen,18261,,71,ES,,4,42.599507,-8.873835,2005-02-04,,,,2,,SANT:SANT-Algae:18261-A,"V. Peña, I. Bárbara, J. Cremades & O. Freire",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH103163,,29TNH103163,,"A Coruña: Sur de Isla Benencia, Boiro, Ría de Arousa",2005
PreservedSpecimen,17803,,71,ES,,29,43.106453,-9.167757,2003-09-29,,,,9,,SANT:SANT-Algae:17803-A,I. Bárbara & P. Díaz,Anotrichium furcellatum (J. Agardh) Baldock,C,29TMH863726,,29TMH863726,,"A Coruña: Playa del Lago, Muxía",2003
PreservedSpecimen,17797,,71,ES,,29,43.106453,-9.167757,2003-09-29,,,,9,,SANT:SANT-Algae:17797-A,I. Bárbara & P. Díaz,Anotrichium furcellatum (J. Agardh) Baldock,C,29TMH863726,,29TMH863726,,"A Coruña: Playa del Lago, Muxía",2003
PreservedSpecimen,17784,,71,ES,,29,43.106453,-9.167757,2003-09-29,,,,9,,SANT:SANT-Algae:17784-A,I. Bárbara & P. Díaz,Anotrichium furcellatum (J. Agardh) Baldock,C,29TMH863726,,29TMH863726,,"A Coruña: Playa del Lago, Muxía",2003
